filename,lig_node,rxn_node,ligand_name,candidate_literature,ni_atom_label,ligand_atom_1_label,ligand_atom_2_label,atoms_to_exclude
ligand-11-c-n-7-int1,11,CO_alt-ethylene,c-n-7,candidate,50,1,16,"[5,6,7,51,52,53,58,59,54,55,56,57]"
ligand-124-c-o-3-int1,124,CO_alt-ethylene,c-o-3,candidate,108,1,35,"[32,33,34,109,110,111,116,112,113,114,115,117]"
ligand-126-p-p-25-int1,126,CO_alt-ethylene,p-p-25,candidate,57,6,1,"[3,4,5,58,59,60,65,61,62,63,64,66]"
ligand-127-p-p-26-int1,127,CO_alt-ethylene,p-p-26,candidate,69,1,6,"[3,4,5,70,71,72,73,74,75,76,77,78]"
ligand-13-p-p-5-int1,13,CO_alt-ethylene,p-p-5,candidate,83,6,1,"[3,4,5,84,85,86,91,92,87,88,89,90]"
ligand-14-p-c-1-int1,14,CO_alt-ethylene,p-c-1,candidate,69,1,41,"[2,3,68,70,71,72,73,74,75,76,77,78]"
ligand-15-p-c-2-int1,15,CO_alt-ethylene,p-c-2,candidate,80,1,42,"[2,3,4,71,72,73,78,79,74,75,76,77]"
ligand-16-p-c-3-int1,16,CO_alt-ethylene,p-c-3,candidate,75,1,42,"[2,3,4,76,77,78,83,84,79,80,81,82]"
ligand-186-p-o-53-int1,186,CO_alt-ethylene,p-o-53,literature,40,1,5,"[16,17,18,41,42,43,44,45,46,47,48,49]"
ligand-187-p-o-54-int1,187,CO_alt-ethylene,p-o-54,literature,19,1,5,"[16,17,18,20,21,22,23,24,25,26,27,28]"
ligand-18-p-c-5-int1,18,CO_alt-ethylene,p-c-5,candidate,75,5,49,"[2,3,4,76,77,78,83,84,79,81,82,80]"
ligand-19-p-c-6-int1,19,CO_alt-ethylene,p-c-6,candidate,75,5,49,"[2,3,4,76,77,78,83,79,81,82,80,84]"
ligand-21-p-c-8-int1,21,CO_alt-ethylene,p-c-8,candidate,69,5,49,"[2,3,4,70,71,72,77,78,73,74,75,76]"
ligand-22-p-c-9-int1,22,CO_alt-ethylene,p-c-9,candidate,73,5,49,"[2,3,4,74,75,76,81,82,77,78,79,80]"
ligand-251-p-o-66-int1,251,CO_alt-ethylene,p-o-66,literature,19,1,5,"[16,17,18,20,21,22,23,24,25,26,27,28]"
ligand-252-p-o-67-int1,252,CO_alt-ethylene,p-o-67,literature,19,1,5,"[16,17,18,20,21,22,23,24,25,26,27,28]"
ligand-2-p-p-1-int1,2,CO_alt-ethylene,p-p-1,candidate,56,10,11,"[2,3,4,57,58,59,64,65,60,61,62,63]"
ligand-31-p-p-10-int1,31,CO_alt-ethylene,p-p-10,candidate,52,6,1,"[3,4,5,53,54,55,60,61,56,57,58,59]"
ligand-32-p-p-11-int1,32,CO_alt-ethylene,p-p-11,candidate,55,6,1,"[3,4,5,56,57,58,63,64,59,60,61,62]"
ligand-35-p-p-14-int1,35,CO_alt-ethylene,p-p-14,candidate,62,14,10,"[1,2,3,63,64,65,66,67,68,69,70,71]"
ligand-38-p-o-2-int1,38,CO_alt-ethylene,p-o-2,literature,39,1,5,"[16,17,18,40,41,42,43,44,45,46,47,48]"
ligand-3-p-p-2-int1,3,CO_alt-ethylene,p-p-2,candidate,59,6,1,"[3,4,5,60,61,62,67,68,63,64,66,65]"
ligand-409-p-o-140-int1,409,CO_alt-ethylene,p-o-140,candidate,85,1,5,"[34,35,36,86,87,88,93,94,89,90,91,92]"
ligand-41-p-o-5-int1,41,CO_alt-ethylene,p-o-5,candidate,59,1,5,"[16,17,18,60,61,62,67,68,63,64,65,66]"
ligand-41-p-o-5-int1,41,CO_alt-ethylene,p-o-5,literature,59,1,5,"[16,17,18,60,61,62,67,68,63,64,65,66]"
ligand-42-p-p-16-int1,42,CO_alt-ethylene,p-p-16,candidate,72,11,10,"[2,3,4,73,74,75,80,81,76,77,78,79]"
ligand-431-p-c-29-int1,431,CO_alt-ethylene,p-c-29,candidate,66,31,8,"[1,2,3,67,68,69,70,71,72,73,74,75]"
ligand-432-p-c-30-int1,432,CO_alt-ethylene,p-c-30,candidate,76,14,40,"[10,11,12,77,78,79,84,85,86,81,82,83]"
ligand-43-p-p-17-int1,43,CO_alt-ethylene,p-p-17,candidate,75,6,1,"[3,4,5,76,77,78,82,83,84,79,80,81]"
ligand-44-p-p-18-int1,44,CO_alt-ethylene,p-p-18,candidate,86,1,6,"[3,4,5,87,88,89,94,95,90,91,92,93]"
ligand-464-p-o-161-int1,464,CO_alt-ethylene,p-o-161,literature,58,1,2,"[55,56,57,59,60,61,62,63,64,65,66,67]"
ligand-466-p-o-163-int1,466,CO_alt-ethylene,p-o-163,literature,65,1,2,"[53,54,55,66,67,68,69,70,71,72,73,74]"
ligand-467-p-o-164-int1,467,CO_alt-ethylene,p-o-164,literature,65,1,2,"[53,54,55,66,67,68,69,70,71,72,73,74]"
ligand-473-p-o-170-int1,473,CO_alt-ethylene,p-o-170,candidate,47,1,5,"[16,17,18,48,49,50,51,52,53,54,55,56]"
ligand-474-p-c-32-int1,474,CO_alt-ethylene,p-c-32,candidate,69,4,17,"[1,2,3,70,71,72,73,74,75,76,77,78]"
ligand-475-p-c-33-int1,475,CO_alt-ethylene,p-c-33,candidate,109,4,17,"[1,2,3,100,101,102,103,104,105,106,107,108]"
ligand-476-p-p-31-int1,476,CO_alt-ethylene,p-p-31,candidate,77,18,19,"[20,21,22,78,79,80,81,82,83,84,85,86]"
ligand-477-p-p-32-int1,477,CO_alt-ethylene,p-p-32,candidate,25,18,19,"[20,21,22,26,27,28,29,30,31,32,33,34]"
ligand-478-p-p-33-int1,478,CO_alt-ethylene,p-p-33,candidate,69,39,18,"[64,65,66,70,71,72,73,74,75,76,77,78]"
ligand-479-p-p-34-int1,479,CO_alt-ethylene,p-p-34,literature,82,1,36,"[59,60,61,83,84,85,90,91,86,87,88,89]"
ligand-47-p-p-21-int1,47,CO_alt-ethylene,p-p-21,candidate,75,6,1,"[3,4,5,76,77,78,83,84,79,80,81,82]"
ligand-480-p-p-35-int1,480,CO_alt-ethylene,p-p-35,candidate,61,18,19,"[20,21,22,62,63,64,65,66,67,68,69,70]"
ligand-481-p-p-36-int1,481,CO_alt-ethylene,p-p-36,candidate,78,51,11,"[75,76,77,79,80,81,82,83,84,85,86,87]"
ligand-482-p-p-37-int1,482,CO_alt-ethylene,p-p-37,candidate,60,15,1,"[11,12,13,61,62,63,64,65,66,67,68,69]"
